"platform_name","total_revenue"
"Adams, Foster and Sellers Music 3993","143385.08"
"Townsend, Gonzalez and Cruz Music 1429","143366.56"
"Charles-Bryant Music 9936","143256.24"
"Kim, Campbell and Williams Music 2231","143204.70"
"Webb Group Music 7825","143119.45"
"Johnson, Higgins and Roberts Music 2662","143046.58"
"Howard-Rubio Music 2195","142927.65"
"Jones-Garcia Music 2310","142589.24"
"Wilson-Cruz Music 6259","142411.55"
"Nguyen-Berry Music 5810","142226.78"
"Brown-Jackson Music 4254","142212.57"
"Hoover-Anderson Music 5637","142196.60"
"Sawyer-Smith Music 9529","141553.81"
"Raymond-Morris Music 1105","141375.16"
"Watson-Vaughn Music 1605","141304.68"
"Grimes, Welch and Horton Music 2560","141268.56"
"Brown, Arnold and Reyes Music 8336","140972.36"
"Murphy Ltd Music 1058","140649.66"
"Rodriguez, Murphy and Mckenzie Music 5043","140648.42"
"Trujillo Inc Music 4758","140519.86"
"Harris Group Music 5856","140286.07"
"Ferguson-Mcdonald Music 6011","140115.63"
"Roman-Barry Music 2791","140000.16"
"Kennedy-Olson Music 3997","139946.56"
"Wilkins-Fox Music 5973","139849.46"
"Sandoval-Ford Music 3685","139750.33"
"Young LLC Music 5557","139746.59"
"Lambert-Johnson Music 9615","139617.85"
"Lambert-Moore Music 9050","139579.69"
"Scott, Nelson and Smith Music 4259","139531.77"
"White-Ingram Music 3447","139302.65"
"Boyd, Morrison and Nicholson Music 8386","139292.64"
"Solis, Olsen and Stokes Music 4978","139231.18"
"Jimenez and Sons Music 8533","139211.16"
"Robinson Group Music 7161","139121.45"
"Cooke-Williams Music 7489","139014.68"
"Kelly Group Music 5456","139003.41"
"Shaw, Berry and Diaz Music 3068","138538.28"
"Lloyd, Wagner and David Music 9445","138450.92"
"Arellano, Smith and Harris Music 6014","138290.59"
"Roberts, Griffith and Perez Music 7093","138287.47"
"Rogers, Black and Charles Music 5893","138004.93"
"Stone, Sandoval and Hughes Music 7827","137957.80"
"Miller and Sons Music 5942","137929.45"
"Lozano-Watson Music 4011","137910.03"
"Franklin, Reynolds and Castillo Music 8109","137786.82"
"Nelson Inc Music 5274","137701.89"
"Lee LLC Music 9791","137651.47"
"Fitzgerald-Taylor Music 1746","137243.22"
"Ball Inc Music 6483","137234.53"
"Melton-Wood Music 8016","137217.95"
"Fernandez, Williams and Morris Music 9317","137214.58"
"Sheppard-Green Music 8146","137189.27"
"Brown LLC Music 9661","137149.68"
"Sparks-Castro Music 2443","136991.79"
"Moore-Green Music 5124","136920.73"
"Wong-Christensen Music 1046","136903.11"
"Kane LLC Music 5145","136820.14"
"Peters-Molina Music 6718","136563.99"
"Adams Inc Music 4126","135983.02"
"Beck Ltd Music 1307","135659.15"
"Hart-Murray Music 1667","135631.61"
"Adams-Johnson Music 2302","135561.05"
"Velazquez and Sons Music 6741","135457.35"
"Thompson-Smith Music 5271","135209.06"
"Powers, Davis and Charles Music 7594","135192.60"
"Crawford, Hunt and Taylor Music 2781","135191.07"
"Maynard-Castillo Music 4726","135144.10"
"Crane, Perez and Chambers Music 8151","135017.72"
"Moreno Group Music 7510","134991.67"
"Jackson-Hicks Music 7009","134965.81"
"Clark, Green and Nelson Music 4986","134960.93"
"Wilson-Welch Music 8201","134549.47"
"Reynolds, Becker and Schmidt Music 1468","134422.41"
"Bradley, Graves and Aguirre Music 9234","134379.89"
"Hill Inc Music 4040","134207.80"
"Brown-Scott Music 9164","134196.42"
"Costa-Foster Music 3176","134128.48"
"Miller Ltd Music 2574","134038.38"
"Mccarthy PLC Music 6675","133929.69"
"Welch PLC Music 6496","133870.51"
"White PLC Music 8233","133367.73"
"Gallagher-Hubbard Music 6084","133337.18"
"Daniel-Barrett Music 1772","133337.16"
"Roberts-Wright Music 8219","133291.96"
"Davis LLC Music 8881","133168.75"
"Miranda-Hunt Music 9062","133095.29"
"Smith Inc Music 2226","133063.73"
"Baker, Thomas and Hale Music 3980","132987.97"
"Dickson, Garrett and Davis Music 5023","132987.04"
"Bailey, Thomas and Frazier Music 7262","132922.30"
"Mccarthy Group Music 5920","132837.01"
"Hernandez-Stevenson Music 5200","132781.12"
"Parker-Byrd Music 5408","132519.94"
"Horton LLC Music 8738","132371.02"
"Ramsey Ltd Music 5011","132368.73"
"Schmitt-Brady Music 6001","132315.62"
"Campbell LLC Music 2179","132158.58"
"Solomon and Sons Music 4203","131994.37"
"Peterson and Sons Music 5445","131940.95"
"Martinez-Cisneros Music 8728","131751.93"
"Cooper, Williams and Walker Music 3869","131744.40"
"Hall, Paul and Scott Music 8930","131701.90"
"Phelps-Leonard Music 4169","131556.05"
"Cross-Allen Music 5058","131210.80"
"Lewis, Simpson and Lester Music 1486","131129.78"
"Lewis, Melton and Whitaker Music 7171","131069.03"
"Mills-Flores Music 2472","130977.02"
"Zimmerman-Estes Music 5974","130923.27"
"Mitchell, Adams and Griffin Music 2603","130894.58"
"Young, Butler and Davis Music 1057","130547.90"
"Dougherty, Ryan and Malone Music 1777","130419.50"
"Bennett-Nielsen Music 1659","130384.20"
"Walters, Jackson and Miles Music 5391","130363.61"
"Johnson-Arnold Music 2404","130311.10"
"Smith LLC Music 2264","129979.77"
"Mitchell, Hanson and Hood Music 2706","129850.62"
"Espinoza Ltd Music 8785","129749.27"
"Shea-Reese Music 3412","129651.66"
"Todd-Hernandez Music 5075","129641.14"
"Johnson Group Music 6682","129487.11"
"Nelson LLC Music 3410","129205.68"
"Clark-Fletcher Music 9177","129182.33"
"Underwood Ltd Music 7597","129078.75"
"Blackwell-Sanchez Music 4581","128932.94"
"Anderson, Reyes and Harper Music 2082","128919.93"
"Davies-Garcia Music 5853","128904.31"
"Matthews Inc Music 4729","128866.53"
"Ballard, Fernandez and Thompson Music 7355","128808.70"
"Glass-Atkins Music 7079","128725.79"
"Bowman Inc Music 4867","128687.48"
"Montgomery, Thompson and Romero Music 6187","128428.28"
"Jones Ltd Music 4018","128295.84"
"Wilson-Adkins Music 2935","128160.11"
"Franco, Cummings and Hamilton Music 2122","128065.49"
"Dunn-Chen Music 6771","127771.48"
"Church LLC Music 2348","127641.71"
"Lewis, Robinson and Elliott Music 6772","127469.53"
"Landry Inc Music 6042","127308.67"
"Turner, Harris and Fields Music 4526","127308.06"
"Watts-Martinez Music 7622","127178.37"
"Berry-Stone Music 3030","127177.57"
"Rivera, Randolph and Harris Music 9900","127122.50"
"May Group Music 6676","127114.99"
"Newman LLC Music 2956","127100.46"
"Bruce Inc Music 9575","127013.05"
"Watson PLC Music 3936","126961.95"
"Henderson, Lewis and Douglas Music 5721","126872.90"
"Long-Watkins Music 3467","126685.38"
"Miller, Gonzalez and Wolfe Music 2989","126654.31"
"Robertson-Chen Music 6706","126620.12"
"Bowers LLC Music 7727","126520.45"
"Haney PLC Music 4740","126375.44"
"Wilson-Clarke Music 5187","126316.44"
"Marshall PLC Music 5504","126197.96"
"Taylor PLC Music 3421","126029.16"
"Stephenson LLC Music 1061","125954.26"
"Blankenship PLC Music 2424","125750.34"
"Becker-Meyer Music 2861","125641.37"
"Evans-Lewis Music 8607","125637.49"
"Bennett, Houston and Hernandez Music 6062","125580.16"
"Sanchez, Smith and Wood Music 1404","125464.56"
"Olson-Stephens Music 1032","125288.58"
"Lynch Ltd Music 9229","125026.08"
"Tucker-White Music 6562","124896.98"
"Thornton-Orozco Music 1840","124847.76"
"Marshall Group Music 4640","124605.08"
"Williams, Barnes and Nguyen Music 9036","124560.14"
"Lane LLC Music 6878","124425.45"
"Moore-Strong Music 6009","124214.62"
"Hamilton, Powell and Randolph Music 7813","124099.02"
"Bowen-Vega Music 8558","124036.17"
"Miller and Sons Music 8838","123427.63"
"Fischer-Boyd Music 1372","123312.44"
"Schroeder-Ramos Music 4485","123193.54"
"Francis, Arroyo and Dickson Music 9029","123072.94"
"Kennedy, Rodriguez and Morales Music 6161","122972.15"
"Dixon, Vega and Davis Music 9603","122965.82"
"White-Alvarez Music 5365","122869.31"
"Pennington, Gonzalez and Garcia Music 5257","122825.12"
"Chandler LLC Music 3530","122717.42"
"Harris Group Music 7952","122274.80"
"Diaz, Medina and Bennett Music 4972","122255.14"
"Baker-Johnson Music 4233","122207.73"
"Foster Ltd Music 4600","121831.28"
"Fernandez-Hines Music 5244","121782.43"
"Williams, Crosby and Becker Music 5350","121681.92"
"Mack PLC Music 6806","121625.79"
"Dennis-Zimmerman Music 7207","121619.47"
"Banks and Sons Music 7702","121269.30"
"Davidson Group Music 3854","121243.45"
"Johnson-Mclean Music 9696","121009.03"
"Hernandez-Powell Music 9526","120990.63"
"Jackson Ltd Music 1584","120962.24"
"Walters LLC Music 2063","120930.21"
"Ward LLC Music 3314","120655.40"
"Wilson, Mclaughlin and Jenkins Music 5552","120567.36"
"Hood-Rodriguez Music 7032","120321.99"
"Sanchez, Villarreal and Mckinney Music 4100","120302.49"
"Bowman Inc Music 5380","120243.51"
"Fuller, Russell and Thomas Music 5131","120234.84"
"Boyle and Sons Music 9929","120173.95"
"Yates, Morrow and Murphy Music 2465","120172.54"
"Pierce, Boyle and Malone Music 5520","120088.79"
"Moss-Cox Music 9229","120085.95"
"Ross-Henry Music 5422","120084.53"
"Coleman, Thomas and Weber Music 9911","119996.74"
"Weiss and Sons Music 5935","119896.41"
"Lee and Sons Music 5662","119875.16"
"Obrien, Jackson and Hurley Music 3322","119744.64"
"Rhodes-Ramos Music 2114","119172.11"
"Santana PLC Music 9951","119164.15"
"Poole PLC Music 6344","118903.72"
"Richards and Sons Music 5094","118536.62"
"Gordon Ltd Music 8838","118292.15"
"Mason-Carrillo Music 8111","118260.72"
"Johnson-Jones Music 1570","117959.23"
"Wallace-Hunt Music 4778","117866.38"
"Roberts, Williams and Bennett Music 5079","117753.05"
"Johnston Inc Music 8156","117562.45"
"Rogers, Robles and Jones Music 4062","117368.44"
"Chang, Huang and Brooks Music 1693","117074.80"
"Hurley Inc Music 1917","116881.00"
"Hicks PLC Music 5969","116742.41"
"Davis Group Music 8492","116739.98"
"Brown-White Music 5202","116459.87"
"Williams, Conrad and Kaiser Music 9813","116435.05"
"Stein LLC Music 1938","116171.59"
"Williamson, Robinson and Lloyd Music 6527","115905.16"
"Cantu, Collier and Olson Music 2183","115610.37"
"Mckee Inc Music 8762","115441.80"
"Davis, Lozano and Oliver Music 8889","115140.73"
"Ochoa-Jones Music 4471","114981.57"
"Perez LLC Music 9669","114895.70"
"Gaines, Gray and Jones Music 5676","114753.32"
"Cervantes Ltd Music 2478","114724.35"
"Hall, Nicholson and Taylor Music 5515","114662.51"
"Martinez, Mckenzie and Gonzalez Music 8639","114640.94"
"Stanley and Sons Music 1501","114409.40"
"Schultz PLC Music 2125","114398.88"
"Barrett-Tucker Music 1674","114284.50"
"Pena, Acosta and Espinoza Music 2318","114155.15"
"Bautista, Robinson and Bryant Music 2372","114138.98"
"Bond, Ray and Price Music 9651","113964.86"
"Hernandez LLC Music 4425","113884.89"
"Cruz-Schaefer Music 9130","113595.77"
"Johnson Inc Music 2858","113545.22"
"Blackburn Inc Music 8294","113436.39"
"Clayton-Paul Music 4105","113218.38"
"Rodriguez LLC Music 4761","113157.69"
"Whitney, Wallace and Yu Music 8269","113146.50"
"Ali, Austin and Delgado Music 9178","113104.97"
"Hall Ltd Music 7516","112908.58"
"Schwartz-Wood Music 6965","112796.81"
"Johnson, Thomas and Romero Music 7195","112790.53"
"Nguyen, Byrd and Barnes Music 9488","112679.70"
"Duncan, Martinez and Payne Music 8692","112605.04"
"Smith-Ali Music 6178","112458.10"
"Perez PLC Music 6341","112308.15"
"Ferrell Group Music 7063","112291.57"
"Andrews-Wheeler Music 1622","112204.13"
"Parker Ltd Music 1295","112143.07"
"Mullins-Thompson Music 7966","112031.18"
"Stewart, Simmons and Salinas Music 3855","111988.21"
"Frost, Robinson and Sanchez Music 9128","111846.14"
"Barber-Manning Music 4741","111790.59"
"Gonzalez Ltd Music 9443","111711.54"
"Malone-Cooper Music 3684","111663.52"
"Martin Group Music 4465","111661.05"
"Thompson-Austin Music 9290","111647.62"
"Guzman-Galloway Music 3023","111601.87"
"Ross-Williams Music 8151","111512.76"
"Boyd, Branch and Evans Music 8496","111325.40"
"King-Olson Music 1534","111213.60"
"Medina-Jimenez Music 5292","111050.58"
"Jones, Graves and Garcia Music 6082","110917.69"
"Contreras-Lambert Music 1877","110797.02"
"Chambers, Parks and Butler Music 3041","110613.55"
"Santiago and Sons Music 6060","110273.42"
"Patrick, Blankenship and Taylor Music 7513","109833.79"
"Ross-Cooley Music 3094","109756.82"
"Miller-Rodriguez Music 5575","109599.82"
"Torres-Smith Music 1538","109584.56"
"Sellers Group Music 5496","109537.63"
"Delgado-Manning Music 8090","109436.68"
"Bailey PLC Music 2370","109170.07"
"Lam LLC Music 7429","109143.70"
"Flores-Taylor Music 5397","109123.23"
"Wong, Hansen and Ochoa Music 8169","109091.02"
"Martinez Group Music 7675","109084.61"
"Humphrey Ltd Music 8900","108909.04"
"Hunt PLC Music 9034","108898.83"
"Benton PLC Music 6244","108790.78"
"Edwards LLC Music 1777","108512.18"
"Stokes-Curry Music 5117","108377.09"
"Smith-Salinas Music 4751","108274.59"
"Wright and Sons Music 2258","108250.63"
"Buckley-Camacho Music 3895","108218.96"
"Daniel-Campbell Music 7809","108007.76"
"Morgan Group Music 5821","107997.13"
"Nelson and Sons Music 7823","107857.26"
"Smith-Bennett Music 5662","107793.31"
"Compton Inc Music 4152","107721.08"
"Barber Inc Music 8721","107449.27"
"Beasley-Evans Music 2091","107301.17"
"Lee-Peterson Music 9018","107295.82"
"Zimmerman, Flores and Thornton Music 4135","107249.33"
"Stanley-Sweeney Music 5114","107233.71"
"Martinez Inc Music 8061","106906.89"
"Todd Group Music 7186","106863.59"
"Davis-Rivera Music 4830","106806.09"
"Mills-Ward Music 7569","106745.77"
"Sanchez PLC Music 8291","106472.51"
"Johnson Group Music 1970","106380.94"
"Garcia, Meyer and Wheeler Music 3696","106264.05"
"Bernard, Collins and Mullins Music 5736","106061.19"
"Underwood Ltd Music 8429","106040.12"
"Moran, Brown and Frederick Music 8900","106029.79"
"Boyd-Miles Music 6418","105999.95"
"Ward-Jackson Music 5522","105978.47"
"Moran-Melendez Music 5398","105857.68"
"Hernandez, Price and Stanton Music 4583","105384.76"
"Fisher-Robinson Music 2299","105314.53"
"Harvey, Stevens and Brown Music 4453","105246.23"
"Vasquez PLC Music 8352","105095.06"
"Bell Ltd Music 9788","104895.36"
"Whitehead-Sandoval Music 1810","104760.22"
"Acosta, Hernandez and Brown Music 2390","104674.78"
"Perkins-Walsh Music 7333","104489.75"
"Harper, Jones and Hill Music 7557","103994.52"
"Rivas-Reese Music 6784","103732.45"
"Butler, Jackson and Adams Music 6217","103712.02"
"White, Chavez and Zimmerman Music 8857","103689.62"
"Chaney, Rose and West Music 1567","103386.30"
"Bennett-Rodriguez Music 3989","103335.66"
"Martin-Gomez Music 8015","103098.70"
"Smith PLC Music 9599","103031.72"
"Calhoun, Brown and Wolfe Music 2142","103019.64"
"Larson Ltd Music 7667","102827.15"
"Duke, Jensen and Castaneda Music 1844","102608.05"
"Bradley, Banks and Brady Music 9411","102585.66"
"Dunn and Sons Music 2348","102545.27"
"Dawson-Kirby Music 1818","102511.41"
"Cummings-Weaver Music 8042","101962.84"
"Wolf, Morris and Ruiz Music 8742","101940.89"
"Durham, Coleman and Davis Music 7325","101807.60"
"Erickson, Williamson and Maldonado Music 5098","101679.22"
"Pope, Long and Flores Music 5734","101594.96"
"Robinson Group Music 1259","101460.21"
"Cole, Cole and Reyes Music 4961","101296.07"
"Hernandez LLC Music 5028","101035.37"
"Parker PLC Music 2025","101005.96"
"Brown-Brown Music 5553","100896.05"
"Smith-Gardner Music 3743","100833.69"
"Bailey, Cantu and Vincent Music 6594","100825.47"
"Allen Ltd Music 8715","100812.29"
"Johnston-Miller Music 8800","100747.26"
"Lopez Inc Music 6297","100706.70"
"Keller, Schneider and Rice Music 4345","100586.33"
"Mann Ltd Music 1715","100484.88"
"Padilla, Scott and Wheeler Music 9188","100422.15"
"Spencer, Newton and Thompson Music 1760","100225.02"
"Collins, Brown and Hudson Music 1517","100027.86"
"Jones PLC Music 5261","99998.86"
"Johnson LLC Music 3591","99882.61"
"Hodges-Castro Music 6476","99872.24"
"Ponce-Rios Music 3828","99862.63"
"Brown-Ochoa Music 3703","99857.21"
"Allen-Vaughn Music 1647","99852.53"
"Vazquez, Peterson and Brown Music 5879","99788.05"
"Lucas, Bryant and White Music 3179","99748.55"
"Simpson, Phillips and Bernard Music 3014","99745.18"
"Johns Ltd Music 3263","99722.82"
"Donovan, Smith and Jones Music 1112","99609.18"
"Hernandez, Reynolds and Reid Music 1309","99590.51"
"Hill Inc Music 2991","99524.39"
"Reed, Hall and Warren Music 6174","99496.36"
"Morrison Ltd Music 1815","99434.29"
"Park-Stone Music 8272","99349.71"
"Hays Group Music 4785","99313.76"
"Steele, Miller and Walker Music 9924","99172.22"
"Hill-Lee Music 6647","99140.39"
"Ellison, Harris and Hamilton Music 5671","99052.57"
"Andersen-Smith Music 8061","99040.84"
"Mahoney, Lewis and Rivera Music 7784","99005.41"
"Townsend-Williams Music 3124","99002.45"
"Davis-Blankenship Music 9961","98972.81"
"Johnson and Sons Music 4640","98899.96"
"Ayers-Yates Music 9516","98892.69"
"Sims Inc Music 6790","98822.35"
"Cox-Stevenson Music 4272","98816.57"
"Vincent Inc Music 6015","98761.25"
"Bradford-Brown Music 8253","98728.15"
"Williams Group Music 3389","98676.04"
"Green-Noble Music 1589","98669.09"
"Reese, Maynard and Webster Music 2312","98668.67"
"Chen-Cole Music 5853","98552.18"
"Perez-Reed Music 6078","98472.92"
"Spencer-Fleming Music 6777","98387.02"
"Harvey, Wolf and Wilkinson Music 1400","98370.49"
"Green, Hoover and Brewer Music 4421","98292.05"
"Bonilla, Coffey and Adams Music 3133","98218.86"
"Stephens Ltd Music 2093","98191.56"
"Ramirez Ltd Music 6894","98111.01"
"Stewart, Smith and Williamson Music 8031","98014.62"
"Peters, Cooper and Patterson Music 1306","97943.14"
"Henderson and Sons Music 1064","97894.63"
"Valdez-Roberts Music 5352","97854.93"
"Durham-Sparks Music 8605","97814.55"
"Mckee PLC Music 6562","97768.77"
"Little and Sons Music 7901","97657.72"
"Scott-Burns Music 4481","97618.76"
"Horton LLC Music 1533","97588.47"
"Patrick, Nguyen and Harrington Music 6437","97509.14"
"Lopez Group Music 8672","97431.36"
"Thompson-Blake Music 9687","97330.41"
"Luna Group Music 3217","97310.80"
"Lambert Ltd Music 4237","97293.80"
"Shaw, Richardson and Harmon Music 6862","97201.32"
"Mcdaniel LLC Music 2895","97113.99"
"Lester, Hampton and Huang Music 6516","97065.28"
"Mckinney-Sullivan Music 8301","96921.52"
"Zhang, Castro and Miller Music 3032","96810.29"
"Mendez-Webb Music 6124","96765.62"
"Galvan-Davidson Music 8821","96750.10"
"Cox-Joseph Music 6381","96606.54"
"Young-Olsen Music 9283","96551.87"
"Patterson Group Music 8297","96516.81"
"Wilson-Salas Music 3643","96509.40"
"Munoz, Graves and Hunt Music 8330","96479.25"
"Taylor Ltd Music 2236","96422.55"
"Gonzalez-Brown Music 6135","96404.37"
"Brown, Allen and Calhoun Music 4233","96390.80"
"Johnson, Weeks and Holland Music 1657","96370.13"
"Carpenter-Farrell Music 1489","96358.82"
"Peters, Cole and Copeland Music 5801","96172.76"
"Reese-Kelly Music 3657","96167.13"
"Perez Ltd Music 3297","95953.15"
"Anderson PLC Music 1070","95888.48"
"Rodriguez Ltd Music 6342","95865.37"
"Washington-Butler Music 2425","95848.41"
"Nichols, James and Williams Music 2038","95770.65"
"Ward, Oconnor and Cooper Music 5424","95764.21"
"Garcia LLC Music 1568","95749.09"
"Matthews-Krueger Music 3987","95733.19"
"Floyd PLC Music 2536","95730.55"
"Beck Inc Music 2467","95681.78"
"Richardson, Sanchez and Salinas Music 6466","95651.79"
"Ramirez, Buckley and Smith Music 9803","95650.33"
"Washington-Miller Music 7547","95496.73"
"Robertson, Joseph and Morales Music 7930","95467.12"
"Gray, Burke and Fletcher Music 7973","95452.25"
"Bell PLC Music 5379","95436.75"
"Boyd, Bullock and Scott Music 6881","95425.73"
"Martin, Moss and Martin Music 7776","95381.58"
"Baker Group Music 7333","95374.07"
"Thomas Group Music 2795","95321.92"
"Salinas, Yates and Pierce Music 9271","95281.21"
"Chase PLC Music 3560","95248.07"
"Smith, Moreno and Bullock Music 5920","95148.60"
"Osborn, Smith and Banks Music 9967","95094.01"
"Sandoval, Murphy and Wolfe Music 4644","94776.07"
"Torres Ltd Music 8369","94670.50"
"Klein, Reid and Avila Music 2478","94523.59"
"Clarke, Golden and Wade Music 5638","94458.45"
"Golden, Smith and Wilson Music 8118","94320.07"
"Tyler-Hanna Music 8705","94234.78"
"Williams, Reed and Stewart Music 3075","94161.50"
"Clark-Robertson Music 9156","94148.96"
"Lawrence-Dean Music 4019","94134.84"
"Green LLC Music 7745","94083.88"
"James, Stout and Brown Music 4053","94016.60"
"Butler, Rodriguez and Ortiz Music 1185","93982.61"
"Miller, Simmons and Kramer Music 8979","93904.41"
"Ramirez-Smith Music 2753","93894.89"
"Figueroa-Aguirre Music 7988","93879.28"
"Bonilla, Ortiz and Welch Music 2992","93831.21"
"Aguilar and Sons Music 1044","93743.59"
"Nicholson, Greer and Myers Music 2912","93694.85"
"Smith, Lopez and Guerra Music 9534","93684.63"
"Morrison, Crawford and Proctor Music 8030","93633.75"
"Nunez-Dominguez Music 3232","93598.06"
"Salas Group Music 9181","93542.87"
"Taylor-Figueroa Music 4211","93523.66"
"Johnson-Fleming Music 2462","93458.20"
"Bryant, Barr and Huerta Music 3303","93363.11"
"Russell LLC Music 7733","93333.30"
"Drake PLC Music 5464","93246.63"
"Carey PLC Music 3756","93212.67"
"Barrett-Olson Music 8037","93171.26"
"Jimenez-Lewis Music 4707","93062.90"
"Willis PLC Music 2944","93005.84"
"Bush-Torres Music 2023","92999.71"
"Roberts and Sons Music 5208","92977.41"
"Moore Group Music 8615","92960.40"
"Wallace PLC Music 4405","92936.95"
"Mason PLC Music 8309","92910.93"
"Erickson, Lawrence and Wilcox Music 2546","92864.73"
"Gonzalez Ltd Music 6302","92860.41"
"Duke-Rivera Music 5858","92833.73"
"Shaffer-Porter Music 8084","92808.90"
"Burns-Porter Music 5210","92798.28"
"Parrish-Robinson Music 1281","92772.17"
"Miranda-Ruiz Music 9487","92770.36"
"Lewis, Bryant and Phillips Music 1862","92711.89"
"Wagner Inc Music 6402","92597.68"
"Lee Inc Music 3590","92538.11"
"Jackson, Stone and Sims Music 3966","92396.13"
"Hood, Bailey and Mcpherson Music 9271","92391.72"
"Knight, Wright and Beltran Music 1984","92361.62"
"Harris, Smith and Gill Music 3129","92320.65"
"Phillips, Clarke and Ross Music 8664","92312.10"
"Meyer, Valdez and Garza Music 2690","92294.69"
"Knox-Bridges Music 1899","92248.78"
"Sanders-Hamilton Music 4006","92177.17"
"Pittman, Johnson and Montoya Music 4489","92145.07"
"Hall-Kelly Music 7750","92101.90"
"Valencia Ltd Music 3211","92093.82"
"Rogers, Allen and Johnson Music 7135","92089.77"
"Thomas, Ward and Griffin Music 6708","91984.58"
"Williams, Washington and Bond Music 8355","91933.52"
"Howard-Nguyen Music 8051","91857.46"
"Chavez, Banks and Robinson Music 5148","91833.71"
"Robinson, Young and Mcmahon Music 7405","91731.99"
"Lee-Jones Music 2759","91711.01"
"Simmons Ltd Music 9500","91708.38"
"Carter, Reilly and Hayes Music 1328","91624.43"
"Sims, Smith and Lozano Music 6050","91588.74"
"Patton, Aguilar and Curry Music 2740","91573.63"
"Perry-Miller Music 3522","91549.12"
"Richardson-Ramirez Music 9475","91546.63"
"Smith, Garcia and Holt Music 1868","91525.00"
"Livingston-Berry Music 1520","91391.74"
"Murray-Hester Music 5789","91313.85"
"Duncan Ltd Music 5275","91303.05"
"Mclaughlin Ltd Music 6389","91239.20"
"Downs, Sanford and Morgan Music 2873","91183.90"
"Shelton, Patterson and Sanchez Music 1053","90988.75"
"Velasquez Ltd Music 6174","90970.94"
"Walker-Salazar Music 6964","90967.05"
"Peterson, Mills and Anderson Music 1415","90908.23"
"Stokes, Foster and Huynh Music 4745","90897.02"
"Harding-Brown Music 2999","90848.54"
"Berry, Mccarty and Lucero Music 4408","90815.70"
"Stone-Torres Music 6916","90802.26"
"Sanchez, Knapp and Sullivan Music 8312","90637.59"
"Chavez-Hill Music 5499","90607.97"
"Duncan-Martin Music 9270","90592.80"
"Holland, Rivers and Martin Music 1537","90445.57"
"Bennett and Sons Music 7174","90349.79"
"Hernandez-Castro Music 7678","90345.66"
"Drake, Hall and Farmer Music 8658","90325.88"
"Rogers, Martin and Cox Music 7901","90295.68"
"Armstrong-Kelley Music 6133","90232.37"
"Moore-Mcbride Music 7249","90166.11"
"Martinez and Sons Music 7902","90126.26"
"Miller-Mclaughlin Music 6799","90104.08"
"Morales Inc Music 3032","90066.97"
"Roberts, Sanchez and Richards Music 6951","90045.49"
"Smith LLC Music 6703","90032.96"
"Knox, Allen and Miller Music 4966","89968.67"
"Moore and Sons Music 8245","89929.81"
"Waters, Dickerson and Bell Music 3675","89853.42"
"Smith-Gillespie Music 2600","89823.27"
"Kirby-Stark Music 6159","89815.08"
"Snyder-Shields Music 1593","89780.57"
"Jackson and Sons Music 3295","89760.91"
"Richards PLC Music 1342","89753.00"
"Brown-Martin Music 7322","89750.64"
"Bowen, Melton and Huynh Music 5132","89741.08"
"Walker, Jacobs and Williams Music 3563","89703.57"
"Moore-Hansen Music 6713","89697.70"
"Peterson-Wilson Music 6778","89662.49"
"Ballard and Sons Music 2122","89437.85"
"Montoya Ltd Music 7596","89404.29"
"Arellano-Martinez Music 7851","89342.53"
"Harris, Petty and Marshall Music 1132","89304.65"
"Lopez-Wilson Music 3344","89293.44"
"Jackson and Sons Music 8995","89280.28"
"Stark, Estrada and Fernandez Music 2637","89232.41"
"Hall, Barnes and Simon Music 7714","89197.64"
"Carlson LLC Music 8147","89194.19"
"Tucker, Pearson and Perez Music 5306","89170.28"
"White LLC Music 6361","89137.59"
"Johnson-Johnson Music 6883","89030.69"
"Beck PLC Music 5144","88886.65"
"Bell Group Music 6661","88807.54"
"Walker-Sosa Music 6361","88782.49"
"Wilson-Banks Music 6459","88757.67"
"Horton Ltd Music 4988","88664.63"
"Bennett PLC Music 8881","88659.26"
"Murphy, Potter and Macias Music 2067","88639.61"
"Cline, Cox and Rocha Music 5389","88606.47"
"Lee Inc Music 4808","88585.19"
"Stewart-Williams Music 5656","88575.36"
"Garrett, Hunter and Christensen Music 6161","88574.03"
"Carter, Kennedy and Jarvis Music 2570","88572.90"
"Smith-Baldwin Music 9877","88556.19"
"Bridges-Christian Music 1926","88504.89"
"Ramirez-Dixon Music 4414","88447.63"
"Dixon Ltd Music 8264","88443.88"
"Mclaughlin, Ross and Nguyen Music 9471","88394.33"
"Garcia-Briggs Music 7167","88341.72"
"Thompson-Jenkins Music 2800","88264.25"
"Bradford, Brown and Harper Music 1685","88252.57"
"Russell, Gray and Lee Music 8763","88223.83"
"Morris, Rivera and Rivers Music 8999","88200.83"
"Bullock, Clark and Wood Music 2543","88192.52"
"Duran Ltd Music 5612","88161.90"
"Clements-Andrews Music 4652","88132.92"
"Moore-Lawson Music 2507","88073.49"
"Harris, Blevins and Becker Music 2066","88015.34"
"Burton Ltd Music 8014","87908.75"
"Davis Ltd Music 8200","87794.09"
"Robinson, Estrada and Hurst Music 5934","87756.73"
"Adams, Valdez and Guerra Music 8668","87712.04"
"Page Inc Music 3140","87676.89"
"Brooks Inc Music 6411","87584.77"
"Robinson-Martin Music 6616","87583.26"
"Ingram, Rubio and Turner Music 8647","87582.79"
"Spencer PLC Music 3598","87562.53"
